Beta_delta,Active PSM,Private PSM,Public PSM,Active pop,Private pop,Public pop,Avg travel cost
9.2,0.626,0.5628,0.7991,"[160473.0, 163951.0, 155144.0, 158580.0]","[24995.0, 30728.0, 34794.0, 43878.0]","[483010.0, 525601.0, 541565.0, 530608.0]","[1456.52, 1658.39, 2431.12, 2937.8]"
9.4,0.626,0.5597,0.799,"[160792.0, 164313.0, 155557.0, 159010.0]","[24284.0, 29847.0, 33715.0, 42628.0]","[483402.0, 526119.0, 542231.0, 531427.0]","[1456.52, 1658.39, 2431.12, 2937.98]"
9.6,0.626,0.5565,0.799,"[161099.0, 164664.0, 155956.0, 159428.0]","[23603.0, 29003.0, 32684.0, 41429.0]","[483776.0, 526613.0, 542862.0, 532208.0]","[1456.52, 1658.39, 2431.12, 2938.14]"
9.8,0.626,0.5534,0.799,"[161396.0, 165003.0, 156342.0, 159835.0]","[22951.0, 28194.0, 31699.0, 40279.0]","[484131.0, 527083.0, 543462.0, 532951.0]","[1456.52, 1658.39, 2431.12, 2938.3]"
10.0,0.6259,0.5504,0.7989,"[161683.0, 165331.0, 156715.0, 160231.0]","[22325.0, 27418.0, 30756.0, 39174.0]","[484471.0, 527531.0, 544032.0, 533660.0]","[1456.52, 1658.39, 2431.12, 2938.45]"
10.2,0.6259,0.5474,0.7989,"[161960.0, 165648.0, 157075.0, 160616.0]","[21724.0, 26673.0, 29854.0, 38113.0]","[484795.0, 527958.0, 544574.0, 534337.0]","[1456.52, 1658.39, 2431.12, 2938.59]"
10.4,0.6259,0.5444,0.7988,"[162227.0, 165956.0, 157424.0, 160990.0]","[21146.0, 25958.0, 28990.0, 37092.0]","[485104.0, 528366.0, 545089.0, 534982.0]","[1456.52, 1658.39, 2431.12, 2938.72]"
10.6,0.6259,0.5414,0.7988,"[162486.0, 166253.0, 157761.0, 161355.0]","[20592.0, 25271.0, 28162.0, 36112.0]","[485400.0, 528756.0, 545580.0, 535599.0]","[1456.52, 1658.39, 2431.12, 2938.85]"
10.8,0.6258,0.5385,0.7988,"[162737.0, 166541.0, 158087.0, 161709.0]","[20059.0, 24611.0, 27369.0, 35168.0]","[485682.0, 529128.0, 546047.0, 536187.0]","[1456.52, 1658.39, 2431.12, 2938.97]"
11.0,0.6258,0.5356,0.7987,"[162979.0, 166821.0, 158402.0, 162055.0]","[19546.0, 23975.0, 26609.0, 34260.0]","[485953.0, 529484.0, 546492.0, 536750.0]","[1456.52, 1658.39, 2431.12, 2939.09]"
